Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-17,21:00,Middlesbrough,Ipswich Town,2025-10-17 21:00:00,0.4674663853695425,0.3506562110370391,0.18179620789652756,0.6060613314805793,0.3701205251548577,0.07910720450790855,0.014438172595481868,0-0,0.22433395323531352,Contender,EFL Championship,2025-2026
2025-10-18,13:30,Southampton,Swansea City,2025-10-18 13:30:00,0.3585151982349887,0.40789557625180883,0.2335771903858594,0.5937354962694733,0.48632463576326657,0.03671997731977258,0.01605364324418737,0-0,0.28875167412614267,Contender,EFL Championship,2025-2026
2025-10-18,13:30,QPR,Millwall,2025-10-18 13:30:00,0.43432906322242276,0.2971450984615041,0.2682459736076329,0.4183421433974394,0.30281521848393705,0.11909467979611653,0.058150922110690964,1-0,0.15137435918491166,Contender,EFL Championship,2025-2026
2025-10-18,13:30,Oxford United,Derby County,2025-10-18 13:30:00,0.42400466474748316,0.24893013961939536,0.32559986811144365,0.26925880404049896,0.21617208922650144,0.197913440885588,0.14486223783831192,1-1,0.11702273138428305,Contender,EFL Championship,2025-2026
2025-10-18,16:00,West Brom,Preston,2025-10-18 16:00:00,0.4881350490149785,0.276171981684783,0.2350995105632975,0.42226657825629793,0.25283293662839906,0.15992621383758263,0.05661242839813319,1-0,0.14688543964025783,Contender,EFL Championship,2025-2026
2025-10-18,16:00,Charlton Ath,Sheffield Weds,2025-10-18 16:00:00,0.6579600451388485,0.21634390789063396,0.12286148452933704,0.5270634462065047,0.16007530402718415,0.2751598126693989,0.026911246135185873,1-0,0.15501389311545358,Contender,EFL Championship,2025-2026
2025-10-18,16:00,Coventry City,Blackburn,2025-10-18 16:00:00,0.7115146112403037,0.18491577416857474,0.09783042910595659,0.5348517781071144,0.1235353809839619,0.3422618657212498,0.02499031345833952,2-0,0.14530997534226897,Contender,EFL Championship,2025-2026
2025-10-18,16:00,Stoke City,Wrexham,2025-10-18 16:00:00,0.3719995831535549,0.265379691996449,0.3618573403762739,0.2788272056459772,0.27286973628026834,0.14206647458538252,0.13715217898297055,1-1,0.1262234364316631,Contender,EFL Championship,2025-2026
2025-10-18,16:00,Norwich City,Bristol City,2025-10-18 16:00:00,0.3306075214161134,0.21508212341497354,0.4482635322970068,0.13782065418065703,0.1855658209987458,0.2347474579665061,0.31307325157334137,1-1,0.08559342760121416,Contender,EFL Championship,2025-2026
2025-10-18,16:00,Sheffield Utd,Watford,2025-10-18 16:00:00,0.48713795733271453,0.2514176779256809,0.26008846034674704,0.3395417442416841,0.20690600011694624,0.20904212687655896,0.09512923690700616,1-1,0.11957206353591146,Contender,EFL Championship,2025-2026
2025-10-18,16:00,Birmingham City,Hull City,2025-10-18 16:00:00,0.5752954945086279,0.2500672858335983,0.1733289444147158,0.47516466150573555,0.20365785017038984,0.2130978088659361,0.0394901555333133,1-0,0.15419353118392518,Contender,EFL Championship,2025-2026
2025-10-18,20:45,Leicester City,Portsmouth,2025-10-18 20:45:00,0.5593263019396003,0.3213395414992433,0.11913577404414373,0.6892632773461903,0.3155141055127352,0.11040125085442058,0.006503588087249554,1-0,0.2509153134230582,Contender,EFL Championship,2025-2026
2025-10-21,20:45,Ipswich Town,Charlton Ath,2025-10-21 20:45:00,0.7427977076586261,0.18403596320481339,0.06891166575337027,0.6527864602612762,0.13859372398943398,0.3126296958682174,0.009133100717276172,1-0,0.17955566276983578,Contender,EFL Championship,2025-2026
2025-10-21,20:45,Preston,Birmingham City,2025-10-21 20:45:00,0.6907390133715982,0.23885685569227155,0.06926866979570795,0.7355627534643591,0.21125889598205194,0.20386105860605552,0.0037979969852207467,1-0,0.24186142094965118,Contender,EFL Championship,2025-2026
2025-10-21,20:45,Hull City,Leicester City,2025-10-21 20:45:00,0.3201775734159602,0.23487943851653686,0.4423595812856349,0.18149095547724634,0.24144963440842035,0.17015729510632663,0.24225412340654776,1-1,0.10636291515211342,Contender,EFL Championship,2025-2026
2025-10-21,20:45,Millwall,Stoke City,2025-10-21 20:45:00,0.45552411011792987,0.3019071850786512,0.24231007157342319,0.4570472285102817,0.30378789409117274,0.11841218097775957,0.04494251883822791,1-0,0.16546425817424312,Contender,EFL Championship,2025-2026
2025-10-21,20:45,Portsmouth,Coventry City,2025-10-21 20:45:00,0.22189495682416227,0.21864206043080886,0.5552443198884833,0.1415165876649765,0.31323200073482343,0.11063119121037723,0.30710267818840536,1-1,0.1006791034197361,Contender,EFL Championship,2025-2026
2025-10-21,20:45,Blackburn,Sheffield Utd,2025-10-21 20:45:00,0.43532159228573764,0.2750243065669558,0.2890849877721803,0.35619385527186137,0.26356263560288834,0.15015502275980577,0.08610373153372297,1-1,0.12923093435697047,Contender,EFL Championship,2025-2026
2025-10-21,20:45,Derby County,Norwich City,2025-10-21 20:45:00,0.45393234797142146,0.27451595308077137,0.2709559505745634,0.3744815690242646,0.2571270217369151,0.15593937949521539,0.07685027372607021,1-0,0.13084952934213737,Contender,EFL Championship,2025-2026
2025-10-21,21:00,Bristol City,Southampton,2025-10-21 21:00:00,0.44827240007283065,0.2352443954590365,0.31394270902149746,0.24738104004249567,0.18089038283126824,0.24314112995966153,0.16434154926353525,1-1,0.10696303105670606,Contender,EFL Championship,2025-2026
2025-10-22,20:45,Watford,West Brom,2025-10-22 20:45:00,0.5318920867557161,0.24900089545693943,0.21765878693269997,0.3933225858387483,0.19942285079324487,0.2184120195853423,0.06803318964070933,1-0,0.12664617383243187,Contender,EFL Championship,2025-2026
2025-10-22,20:45,Swansea City,QPR,2025-10-22 20:45:00,0.4177029311359306,0.22239149457383645,0.3554529859985582,0.18780802459147206,0.16111809523614035,0.27256807679146483,0.2324268656145474,1-1,0.09255650696248494,Contender,EFL Championship,2025-2026
2025-10-22,20:45,Wrexham,Oxford United,2025-10-22 20:45:00,0.34792365520979707,0.25829859376593584,0.3927717440679457,0.2478487657858194,0.2732198092839262,0.1416831987198558,0.1645101336154903,1-1,0.12259226653457782,Contender,EFL Championship,2025-2026
2025-10-22,21:00,Sheffield Weds,Middlesbrough,2025-10-22 21:00:00,0.11797864907494963,0.15688189710235323,0.7067398495093625,0.0716862587162742,0.36554676329529967,0.07657671224705728,0.47205517662472035,0-2,0.09270438762056438,Contender,EFL Championship,2025-2026
2025-10-24,21:00,Preston,Sheffield Utd,2025-10-24 21:00:00,0.5585635993302979,0.27203006733273544,0.1687179167779345,0.5245428972916989,0.24105120071007227,0.1713401890950223,0.027719897731953963,1-0,0.18001767139836475,Contender,EFL Championship,2025-2026
2025-10-25,13:30,Coventry City,Watford,2025-10-25 13:30:00,0.7664626426609242,0.1300483935730839,0.0776147426675655,0.43770411675839466,0.05873082705424652,0.5129284735575605,0.046178844342528017,2-0,0.10603208554525197,Contender,EFL Championship,2025-2026
2025-10-25,13:30,Ipswich Town,West Brom,2025-10-25 13:30:00,0.7720705413689669,0.12866502563362858,0.07394448797726823,0.45308373002923635,0.059504072345615396,0.5103890935749407,0.04157090412314671,2-0,0.1101166886449397,Contender,EFL Championship,2025-2026
2025-10-25,13:30,Portsmouth,Stoke City,2025-10-25 13:30:00,0.5055766567391597,0.2881605083315181,0.2058366733394574,0.4862949336535892,0.2707794597746611,0.143956094970781,0.036660206996554874,1-0,0.17210362567299523,Contender,EFL Championship,2025-2026
2025-10-25,16:00,Derby County,QPR,2025-10-25 16:00:00,0.37961954996580494,0.2587018111440333,0.36069135601527935,0.2658881716302381,0.2551804066494653,0.1575797598331966,0.1479534075582009,1-1,0.12278599993059333,Contender,EFL Championship,2025-2026
2025-10-25,16:00,Swansea City,Norwich City,2025-10-25 16:00:00,0.5064550437853291,0.23013586174111839,0.2604251458466466,0.2892480223938029,0.16290759235718813,0.270438724777882,0.12816141517304372,1-1,0.10613448588665764,Contender,EFL Championship,2025-2026
2025-10-25,16:00,Hull City,Charlton Ath,2025-10-25 16:00:00,0.5114689618094389,0.29973537745373297,0.18848184368080162,0.5322759352488987,0.28858491509687995,0.1296057536731295,0.026199904261397962,1-0,0.1909565303896403,Contender,EFL Championship,2025-2026
2025-10-25,16:00,Bristol City,Birmingham City,2025-10-25 16:00:00,0.6667057117866128,0.22614119539194907,0.10521954663289307,0.5999799953979154,0.18100045374959015,0.24328908015489908,0.015043129075651664,1-0,0.1859789264413289,Contender,EFL Championship,2025-2026
2025-10-25,16:00,Millwall,Leicester City,2025-10-25 16:00:00,0.2645561322704182,0.24968430541472666,0.48431609295122907,0.20388505332507634,0.33033719359669206,0.10058205342992739,0.21274968779360076,1-1,0.11865129428209742,Contender,EFL Championship,2025-2026
2025-10-25,16:00,Sheffield Weds,Oxford United,2025-10-25 16:00:00,0.20169014029127263,0.21876446385500292,0.5756246910389958,0.14432281920820414,0.347850960935164,0.08968634164880032,0.30205371774705814,1-1,0.10264360009733225,Contender,EFL Championship,2025-2026
2025-10-25,16:00,Blackburn,Southampton,2025-10-25 16:00:00,0.3989791841614379,0.252358805191539,0.3473911398607522,0.2609728270785065,0.23281915216200152,0.17956929196217325,0.15219020209462994,1-1,0.1190034590547817,Contender,EFL Championship,2025-2026
2025-10-25,16:00,Middlesbrough,Wrexham,2025-10-25 16:00:00,0.4197002602859517,0.27708764849253475,0.3026940536265676,0.34704893382387636,0.272936735164285,0.1421013567800266,0.09109767135847562,1-1,0.13017438105597662,Contender,EFL Championship,2025-2026
2025-10-31,21:00,Wrexham,Coventry City,2025-10-31 21:00:00,0.104726964699279,0.14704199577705768,0.7262648315892124,0.06481402023678672,0.37806203411348044,0.06980913606104318,0.49325783288686864,0-2,0.09378536987406406,Contender,EFL Championship,2025-2026
2025-11-01,13:30,Norwich City,Hull City,2025-11-01 13:30:00,0.5249522413808371,0.19478331782978453,0.26746243078734777,0.18570293173416652,0.09243456053340528,0.4131194663582063,0.23120938041670497,2-1,0.08232934816885927,Contender,EFL Championship,2025-2026
2025-11-01,13:30,West Brom,Sheffield Weds,2025-11-01 13:30:00,0.42837436724287464,0.25536012540744746,0.3151203435494537,0.2918104806837038,0.22785212636343097,0.18493483615053105,0.12685871365150586,1-1,0.12115394987925757,Contender,EFL Championship,2025-2026
2025-11-01,13:30,Leicester City,Blackburn,2025-11-01 13:30:00,0.4478711530123716,0.41094077375730165,0.14116538264361264,0.719319520800346,0.44437293041936776,0.04900793459801893,0.004663471094074735,0-0,0.31965337648856285,Contender,EFL Championship,2025-2026
2025-11-01,16:00,Birmingham City,Portsmouth,2025-11-01 16:00:00,0.6467060160725762,0.2251560223116845,0.12589140359290085,0.5372761057229354,0.17274784417640615,0.2553621972903017,0.024973457080839267,1-0,0.16333950119817478,Contender,EFL Championship,2025-2026
2025-11-01,16:00,QPR,Ipswich Town,2025-11-01 16:00:00,0.41077907763142607,0.3463632950920994,0.2427904264018611,0.5188486760532974,0.38610855085811246,0.07156122984078585,0.029009588808203833,0-0,0.2003453738099337,Contender,EFL Championship,2025-2026
2025-11-01,16:00,Oxford United,Millwall,2025-11-01 16:00:00,0.3713011249957518,0.2723935091042864,0.35571824793980183,0.29658333657815494,0.2870896143315673,0.1306637003152799,0.123496432857491,1-1,0.1291640904273849,Contender,EFL Championship,2025-2026
2025-11-01,16:00,Sheffield Utd,Derby County,2025-11-01 16:00:00,0.4346379028788761,0.26658782192632535,0.29801217754224085,0.33070917169061415,0.24789915730152093,0.164560080575367,0.1005612803615905,1-1,0.12653608217439186,Contender,EFL Championship,2025-2026
2025-11-01,16:00,Stoke City,Bristol City,2025-11-01 16:00:00,0.38278175941361725,0.28983989345998723,0.327059895364458,0.3498572874789388,0.3130742626421788,0.11199127431512236,0.08959830477578927,1-1,0.13359300501257668,Contender,EFL Championship,2025-2026
2025-11-01,16:00,Charlton Ath,Swansea City,2025-11-01 16:00:00,0.6553753609802322,0.25572379448012045,0.08804808235663387,0.6961709456979449,0.22796986312034848,0.18493360067480424,0.006004795904084785,1-0,0.2348537097502185,Contender,EFL Championship,2025-2026
2025-11-01,16:00,Watford,Middlesbrough,2025-11-01 16:00:00,0.4395554187319752,0.2467179770435754,0.3121221241681932,0.2753725548396901,0.20692913044095598,0.20889835442573537,0.13967252390804002,1-1,0.11581701316073846,Contender,EFL Championship,2025-2026
2025-11-01,16:00,Southampton,Preston,2025-11-01 16:00:00,0.3705952170419852,0.3686797050474385,0.26069360504164346,0.5251883954226266,0.4357957760260579,0.051892688144879816,0.02767574802358007,0-0,0.22888208791903789,Contender,EFL Championship,2025-2026
2025-11-04,20:45,Ipswich Town,Watford,2025-11-04 20:45:00,0.7954744864019967,0.09920931770975745,0.05492979753253398,0.4301982075413072,0.03721843328260787,0.5883697267404314,0.04390664755362954,3-0,0.10015787575454056,Contender,EFL Championship,2025-2026
2025-11-04,20:45,Charlton Ath,West Brom,2025-11-04 20:45:00,0.6882450410482003,0.22463208491528888,0.08536046259308645,0.6616679809397776,0.18616671712026076,0.23603719287015948,0.008526660292030933,1-0,0.20744596530378284,Contender,EFL Championship,2025-2026
